part_number,name,category,bom_category,brand,unit,purchase_price,purchase_currency,kg_per_metre,is_enclosure_cubicle,is_placeholder,source_file,flags
3VJ9218-0AA11,Left Alarm Switch (3VJ12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,6.56,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0AA21,Right Alarm Switch (3VJ12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,6.56,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0AD11,Left Aux + Alarm Switch (3VJ12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,13.16,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0AD21,Right Aux + Alarm Switch (3VJ12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,13.16,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0AN11,Left Aux Switch (3VJ11 & 12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,6.56,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0AN21,Right Aux Switch (3VJ11 & 12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,6.56,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0HD11,Door Mounted Rotary Operator (3VJ12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,27.5,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0ST11,Right Shunt Trip 24V DC (3VJ11 & 12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,22.22,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0ST12,Right Shunt Trip 48V DC (3VJ11 & 12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,22.22,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0ST15,Right Shunt Trip 110V DC (3VJ11 & 12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,22.22,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0ST35,Right Shunt Trip 110V AC (3VJ11 & 12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,22.22,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0ST36,Right Shunt Trip 220V AC (3VJ11 & 12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,22.22,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0ST37,Right Shunt Trip 415V AC (3VJ11 & 12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,22.22,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0UV11,Left U/V Release 24V DC (3VJ11 & 12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,29.04,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0UV12,Left U/V Release 48V DC (3VJ11 & 12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,29.04,EUR,,no,no,component-catalog-ALL.csv,
