kitGroup,labourGroup,kitName,mainPart,hoursPanelAssembly,hoursWiring,hoursBusbarFabrication
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,1600A FP Onload C/O Switch W/Out Encl-KIT,CSCS1600P4COX,,,
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,1250A FP Onload C/O Switch W/Out Encl-KIT,CSCS1250P4COX,,,
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,1000A FP Onload C/O Switch W/Out Encl-KIT,CSCS1000P4COX,,,
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,800A FP Onload C/O Switch W/Out Encl-KIT,CSCS800K4COXX,,,
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,630A FP Onload C/O Switch W/Out Encl-KIT,CSCS630K4COXX,,,
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,400A FP Onload C/O Switch W/Out Encl-KIT,CSCS400K4COXX,,,
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,250A FP C/O Switch W/Out Encl-KIT,CSCS250NM4COX,,,
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,160A FP C/O Switch W/Out Encl-KIT,CSCS160NM4COX,,,
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,100A FP C/O Switch W/Out Encl-KIT,CSCS100NM4COX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,3150A TP Switch Disconnector (1+2)-KIT,CSSD3150P12XX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,2500A FP Switch Disconnector-KIT,CSSD2500P4XXX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,2000A P4 TP Switch Disconnector-KIT,CSSD2000P4XXX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,1800A TP Switch Disconnector (1+2)-KIT,CSSD1800P12XX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,1600A TP Switch Disconnector-KIT,CSSD1600P3XXX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,1250A TP Switch Disconnector-KIT,CSSD1250P3XXX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,1000A TP Switch Disconnector-KIT,CSSD1000P3XXX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,800A TP Switch Disconnector-KIT,CSSD800K3XXXX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,630A TP Switch Disconnector-KIT,CSSD630K3XXXX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,400A TP Switch Disconnector-KIT,CSSD400DM3XXX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,250A TP Switch Disconnector-KIT,CSSD250DM3XXX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,160A TP Switch Disconnector-KIT,CSSD160DM3XXX,,,
SWITCH DISCONNECTOR,SWITCH DISCONNECTOR,100A TP Switch Disconnector-KIT,CSSD100DM3XXX,,,
ATS-SWITCH,ATS-SWITCH,ATS 630A 4P Bottom Incomer & Top Outgoing-KIT,CATS5F630AB-E,,,
ATS-SWITCH,ATS-SWITCH,ATS 400A 4P Bottom Incomer & Top Outgoing-KIT,CATS5F400AB-E,,,
ATS-SWITCH,ATS-SWITCH,ATS 250A 4P Bottom Incomer & Top Outgoing-KIT,CATS5F250AB-E,,,
ATS-SWITCH,ATS-SWITCH,25A 4P RCCB 10KA 300MA-KIT,CSRBS4P25A300-10KA,,,
ATS-SWITCH,ATS-SWITCH,25A 4P RCCB 10KA 30MA-KIT,CSRBS4P25A30-10KA,,,
ATS-SWITCH,ATS-SWITCH,40A 4P RCCB 10KA 300MA-KIT,CSRBS4P40A300-10KA,,,
ATS-SWITCH,ATS-SWITCH,40A 4P RCCB 10KA 30MA-KIT,CSRBS4P40A30-10KA,,,
ATS-SWITCH,ATS-SWITCH,63A 4P RCCB 10KA 300MA-KIT,CSRBS4P63A300-10KA,,,
