partNumber,description,category,priceEur,purchaseCurrency,listSellingPrice,unit,brand,rating,poles,breakingCapacity,frameSize,notes
CSCS1800P4COX,1800A FP Onload C/O Switch W/Out Encl,ONLOAD CHANGEOVER,2182.5,EUR,0,1,C&S,,,,,
CSCS1600P4COX,1600A FP Onload C/O Switch W/Out Encl,ONLOAD CHANGEOVER,1100,EUR,0,1,C&S,,,,,
CSCS1250P4COX,1250A FP Onload C/O Switch W/Out Encl,ONLOAD CHANGEOVER,983,EUR,0,1,C&S,,,,,
CSCS1000P4COX,1000A FP Onload C/O Switch W/Out Encl,ONLOAD CHANGEOVER,874.5,EUR,0,1,C&S,,,,,
CSCS800K4COXX,800A FP Onload C/O Switch W/Out Encl,ONLOAD CHANGEOVER,260.25,EUR,0,1,C&S,,,,,
CSCS630K4COXX,630A FP Onload C/O Switch W/Out Encl,ONLOAD CHANGEOVER,225.5,EUR,0,1,C&S,,,,,
CSCS400K4COXX,400A FP Onload C/O Switch W/Out Encl,ONLOAD CHANGEOVER,181.25,EUR,0,1,C&S,,,,,
CSCS250NM4COX,250A FP C/O Switch W/Out Encl,ONLOAD CHANGEOVER,85.25,EUR,0,1,C&S,,,,,
CSCS160NM4COX,160A FP C/O Switch W/Out Encl,ONLOAD CHANGEOVER,71,EUR,0,1,C&S,,,,,
CSCS100NM4COX,100A FP C/O Switch W/Out Encl,ONLOAD CHANGEOVER,31,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
SWITCH DISCONNECTOR,,,,,,,,,,,,
CSSD3150P12XX,3150A TP Switch Disconnector (1+2) ,Switch Disconnector,1200,EUR,0,1,C&S,,,,,
CSSD2500P4XXX,2500A FP Switch Disconnector,Switch Disconnector,1545.75,EUR,0,1,C&S,,,,,
CSSD2000P4XXX,2000A P4 TP Switch Disconnector,Switch Disconnector,1342,EUR,0,1,C&S,,,,,
CSSD1800P12XX,1800A TP Switch Disconnector (1+2),Switch Disconnector,464.75,EUR,0,1,C&S,,,,,
CSSD1600P3XXX,1600A TP Switch Disconnector,Switch Disconnector,394,EUR,0,1,C&S,,,,,
CSSD1250P3XXX,1250A TP Switch Disconnector,Switch Disconnector,332.75,EUR,0,1,C&S,,,,,
CSSD1000P3XXX,1000A TP Switch Disconnector ,Switch Disconnector,357,EUR,0,1,C&S,,,,,
CSSD800K3XXXX,800A TP Switch Disconnector,Switch Disconnector,90,EUR,0,1,C&S,,,,,
CSSD630K3XXXX,630A TP Switch Disconnector,Switch Disconnector,88.5,EUR,0,1,C&S,,,,,
CSSD400DM3XXX,400A TP Switch Disconnector,Switch Disconnector,62,EUR,0,1,C&S,,,,,
CSSD250DM3XXX,250A TP Switch Disconnector,Switch Disconnector,42,EUR,0,1,C&S,,,,,
CSSD160DM3XXX,160A TP Switch Disconnector,Switch Disconnector,38.75,EUR,0,1,C&S,,,,,
CSSD100DM3XXX,100A TP Switch Disconnector ,Switch Disconnector,32.75,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
BYPASS SWITCH,,,,,,,,,,,,
CSBS1800K4XXX,1800A FP Bypass Switch W/Out Encl,BYPASS SWITCH,3520,EUR,0,1,C&S,,,,,
CSBS1250P4XXX,1250A FP Bypass Switch 'P' W/Out Encl,BYPASS SWITCH,1190.5,EUR,0,1,C&S,,,,,
CSBS1000P4XXX,1000A FP Bypass Switch 'P' W/Out Encl,BYPASS SWITCH,1024.5,EUR,0,1,C&S,,,,,
CSBS630K4XXXX,630A FP Bypass Switch W/Out Encl,BYPASS SWITCH,359.5,EUR,0,1,C&S,,,,,
CSBS400K4XXXX,400A FP Bypass Switch W/Out Encl,BYPASS SWITCH,267.75,EUR,0,1,C&S,,,,,
CSBS250DM4XXX,250A FP Bypass Switch W/Out Encl,BYPASS SWITCH,195.6,EUR,0,1,C&S,,,,,
CSBS160DM4XXX,160A FP Bypass Switch W/Out Encl,BYPASS SWITCH,135.05,EUR,0,1,C&S,,,,,
CSBS125DM4XXX,125A FP Bypass Switch W/Out Encl,BYPASS SWITCH,128.75,EUR,0,1,C&S,,,,,
CSBS100DM4XXX,100A FP BYPASS SWITCH W/OUT ENCLOSURE,BYPASS SWITCH,98.75,EUR,0,1,C&S,,,,,
CSBS63DM4XXXX,63A FP Bypass Switch W/Out Encl,BYPASS SWITCH,94.75,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
ATS-SWITCH,,,,,,,,,,,,
CATS5F630AB-E,ATS 630A 4P Bottom Incomer & Top Outgoing  ,ATS SWITCH,694.25,EUR,0,1,C&S,,,,,
CATS5F400AB-E,ATS 400A 4P Bottom Incomer & Top Outgoing  ,ATS SWITCH,690,EUR,0,1,C&S,,,,,
CATS5F250AB-E,ATS 250A 4P Bottom Incomer & Top Outgoing ,ATS SWITCH,403,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
CONTACTOR,,,,,,,,,,,,
CSTC1D40008U5,40A AC3/60A AC1 FP Contactor 2NO+2NC,CONTACTOR,47.75,EUR,0,1,C&S,,,,,
CSTC1D40004U5,40A AC3/60A AC1 FP Contactor 4NO,CONTACTOR,47.75,EUR,0,1,C&S,,,,,
CSTC1D65008U5,65A AC3/80A AC1 FP Contactor 2NO+2NC,CONTACTOR,71.75,EUR,0,1,C&S,,,,,
CSTC1D65004U5,65A AC3/80A AC1 FP Contactor 4NO,CONTACTOR,71.75,EUR,0,1,C&S,,,,,
CSTC1D80008U5,80A AC3/125A AC1 FP Contactor 2NO+2NC,CONTACTOR,103.5,EUR,0,1,C&S,,,,,
TC1D80004U5,80A AC3/125A AC1 FP Contactor 4NO,CONTACTOR,103.5,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
LC1FDPM5004AU7,500A AC3/700A AC1 FP Contactor 4NO + Add On Block,,381,EUR,0,1,C&S,,,,,
CSLC1FDP500U7,500A TP Contactor 2NO+2NC Auxi. 240V,,256.5,EUR,0,1,C&S,,,,,
LC1FDP3304AU7,330A AC3/400A AC1 FP Contactor 4NO,,302.85,EUR,0,1,C&S,,,,,
LC1FDP1854AU5,185A AC3/275A AC1 FP Contactor 4NO,,143.5,EUR,0,1,C&S,,,,,
CSLC1FDP185AX,185A TP Contactor 240V,,103.5,EUR,0,1,C&S,,,,,
CSLC1FDP185U5,185A TP Contactor 2NO+2NC Auxi. 240V,,114.5,EUR,0,1,C&S,,,,,
LC1FDP1504AU5,150A AC /250A AC1 FP Contactor 4NO,,157.5,EUR,0,1,C&S,,,,,
CSLC1FDP150AU5,150A TP Contactor 2NO+2NC Auxi. 240V,,77,EUR,0,1,C&S,,,,,
LC1FDP1154AU5,115A AC3/200A AC1 FP Contactor 4NO,,153,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CSTA8DN11XXXX,Add-on Block Cont 1NO+1NC Side Mount, CONTACTOR ACCESSORIES,2,EUR,0,1,C&S,,,,,
CSTA1DN11XXXX,Add-on Block Cont 1NO+1NC Top Mount, CONTACTOR ACCESSORIES,1.375,EUR,0,1,C&S,,,,,
CSTA1DN13XXXX,Add-on Block Cont 1NO+3NC Front Mount, CONTACTOR ACCESSORIES,2.3,EUR,0,1,C&S,,,,,
TA1DN02,Add-on Block Cont 2NC + 2NC, CONTACTOR ACCESSORIES,1.25,EUR,0,1,C&S,,,,,
CSTA1DN20XXXX,Add-on Block Cont 2NO Front Mount, CONTACTOR ACCESSORIES,1.375,EUR,0,1,C&S,,,,,
CSLA9FF970XXX,Mech  I/lock Hor. Mount 115-150A AC3, CONTACTOR ACCESSORIES,1.75,EUR,0,1,C&S,,,,,
CSLA9FG970XXX,Mech I/lock Hor. Mount 185-225A AC3, CONTACTOR ACCESSORIES,1.9,EUR,0,1,C&S,,,,,
CSLA9D09978XX,Mech I/lock Hor. Mount 9-32A AC3, CONTACTOR ACCESSORIES,1.15,EUR,0,1,C&S,,,,,
LA9FF4F,Mech I/lock Ver. Mount - LC1F-FDP115A-150A, CONTACTOR ACCESSORIES,9.5,EUR,0,1,C&S,,,,,
LA9FG4G,Mech I/lock Ver. Mount - LC1F-FDP185A-225A , CONTACTOR ACCESSORIES,9.5,EUR,0,1,C&S,,,,,
CSLA9FJ4JXXXX,Mech I/lock Ver. Mount LC1F-FDP330A-400A  , CONTACTOR ACCESSORIES,15.75,EUR,0,1,C&S,,,,,
CSLA9FK4,Mech I/lock Ver. Mount - LC1F-FDP500A, CONTACTOR ACCESSORIES,17.75,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
RCCB,,,,,,,,,,,,
CSRBS4P25A300-10KA,25A 4P RCCB 10KA 300MA  ,,15.5,EUR,0,1,C&S,,,,,
CSRBS4P25A30-10KA,25A 4P RCCB 10KA 30MA,,15.5,EUR,0,1,C&S,,,,,
CSRBS4P40A300-10KA,40A 4P RCCB 10KA 300MA   ,,15.5,EUR,0,1,C&S,,,,,
CSRBS4P40A30-10KA,40A 4P RCCB 10KA 30MA ,,15.5,EUR,0,1,C&S,,,,,
CSRBS4P63A300-10KA,63A 4P RCCB 10KA 300MA    ,,15.5,EUR,0,1,C&S,,,,,
CSRBS4P63A30-10KA,63A 4P RCCB 10KA 30MA ,,15.5,EUR,0,1,C&S,,,,,
